Price,Germany
Ticker,^GDAXI
Date,
1987-12-30,1005.1900024414062
1988-01-04,956.489990234375
1988-01-05,996.0999755859375
1988-01-06,1006.010009765625
1988-01-07,1014.469970703125
1988-01-08,1026.68994140625
1988-01-11,987.52001953125
1988-01-12,986.8900146484375
1988-01-13,965.77001953125
1988-01-14,974.4600219726562
1988-01-15,952.4600219726562
1988-01-18,1003.1300048828125
1988-01-19,980.1799926757812
1988-01-20,960.4400024414062
1988-01-21,949.239990234375
1988-01-22,966.47998046875
1988-01-25,962.6300048828125
1988-01-26,968.260009765625
1988-01-27,959.6699829101562
1988-01-28,937.760009765625
1988-01-29,936.0
1988-02-01,951.5
1988-02-02,955.6699829101562
1988-02-03,972.1900024414062
1988-02-04,990.219970703125
1988-02-05,979.3800048828125
1988-02-08,986.9500122070312
1988-02-09,983.3099975585938
1988-02-10,997.1400146484375
1988-02-11,1024.68994140625
1988-02-12,1033.489990234375
1988-02-15,1049.3499755859375
1988-02-16,1055.77001953125
1988-02-17,1053.27001953125
1988-02-18,1051.93994140625
1988-02-19,1046.780029296875
1988-02-22,1059.47998046875
1988-02-23,1069.030029296875
1988-02-24,1069.9000244140625
1988-02-25,1091.5899658203125
1988-02-26,1079.4000244140625
1988-02-29,1083.3399658203125
1988-03-01,1087.3199462890625
1988-03-02,1080.43994140625
1988-03-03,1082.239990234375
1988-03-04,1075.1300048828125
1988-03-07,1077.3699951171875
1988-03-08,1079.4200439453125
1988-03-09,1078.6199951171875
1988-03-10,1082.5400390625
1988-03-11,1073.449951171875
1988-03-14,1071.8900146484375
1988-03-15,1088.1300048828125
1988-03-16,1098.760009765625
1988-03-17,1104.27001953125
1988-03-18,1123.27001953125
1988-03-21,1111.6199951171875
1988-03-22,1107.0999755859375
1988-03-23,1116.1099853515625
1988-03-24,1100.449951171875
1988-03-25,1065.7099609375
1988-03-28,1037.260009765625
1988-03-29,1062.3299560546875
1988-03-30,1066.5
1988-03-31,1062.3299560546875
1988-04-05,1063.280029296875
1988-04-06,1073.02001953125
1988-04-07,1081.9000244140625
1988-04-08,1078.4100341796875
1988-04-11,1088.239990234375
