Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-02 00:00:00-05:00,0.125838,0.128573,0.125838,0.125838,100710400,0.000000,0.000000
1980-12-03 00:00:00-05:00,0.124469,0.124469,0.123102,0.123102,25177600,0.000000,0.000000
1980-12-04 00:00:00-05:00,0.127205,0.128573,0.127205,0.127205,22694400,0.000000,0.000000
1980-12-05 00:00:00-05:00,0.123102,0.123102,0.120366,0.120366,7590400,0.000000,0.000000
1980-12-08 00:00:00-05:00,0.114895,0.114895,0.113527,0.113527,5414400,0.000000,0.000000
1980-12-09 00:00:00-05:00,0.113527,0.113527,0.110792,0.110792,5824000,0.000000,0.000000
1980-12-10 00:00:00-05:00,0.108056,0.108056,0.103953,0.103953,5875200,0.000000,0.000000
1980-12-11 00:00:00-05:00,0.101217,0.101217,0.098481,0.098481,5440000,0.000000,0.000000
1980-12-12 00:00:00-05:00,0.102585,0.103953,0.102585,0.102585,8153600,0.000000,0.000000
1980-12-15 00:00:00-05:00,0.106688,0.108056,0.106688,0.106688,6643200,0.000000,0.000000
1980-12-16 00:00:00-05:00,0.106688,0.106688,0.103953,0.103953,6630400,0.000000,0.000000
1980-12-17 00:00:00-05:00,0.102585,0.102585,0.099849,0.099849,4672000,0.000000,0.000000
1980-12-18 00:00:00-05:00,0.102585,0.105321,0.102585,0.102585,11251200,0.000000,0.000000
1980-12-19 00:00:00-05:00,0.106688,0.108056,0.106688,0.106688,10035200,0.000000,0.000000
1980-12-22 00:00:00-05:00,0.106688,0.109424,0.106688,0.106688,1856000,0.000000,0.000000
1980-12-23 00:00:00-05:00,0.109424,0.112159,0.109424,0.109424,5696000,0.000000,0.000000
1980-12-24 00:00:00-05:00,0.113527,0.116263,0.113527,0.113527,2444800,0.000000,0.000000
1980-12-26 00:00:00-05:00,0.114895,0.117631,0.114895,0.114895,1459200,0.000000,0.000000
1980-12-29 00:00:00-05:00,0.114895,0.116263,0.113527,0.113527,1740800,0.000000,0.000000
